timestamp,open,high,low,close
1632700800,3061.9656624913473,undefined,undefined,undefined
1632614400,2924.08170851852,3114.9485770081433,2744.0672816629967,3060.543071030628
1632528000,2931.0372607018835,2967.89653367546,2815.9772656436626,2922.5723046649273
1632441600,3154.360772068745,3159.38278592565,2746.304506286134,2931.078624766718
1632355200,3078.323355703091,3174.2982995095267,3036.9646169074717,3156.9293131478476
1632268800,2779.85,3089.1163935011477,2744.65,3075.4662733368564
1632182400,2971.93,3095.03,2665.49,2749.37
1632182280,2972.12,undefined,undefined,undefined
1632096000,3343.34,3343.34,2935.11,2964.31
1632095880,3335.35,undefined,undefined,undefined
1632009600,3428.16,3450.95,3284.36,3326.13
1632009540,3429.0300000000007,undefined,undefined,undefined
1631923200,3392.96,3540.69,3372.13,3430.59
1631923080,3400,undefined,undefined,undefined
1631836800,3563.86,3588.84,3351.64,3392.65
1631836740,3570.3399999999997,undefined,undefined,undefined
1631750400,3615.65,3669.71,3489.07,3568.84
1631750280,3615.87,undefined,undefined,undefined
1631664000,3438.91,3599.99,3364.8,3596.7
1631577600,3280.73,3428.87,3276.66,3428.87
1631577540,3286.2,undefined,undefined,undefined
1631491200,3400.11,3428.95,3116.63,3286.07
1631404800,3263.8799999999997,3467.97,3233.23,3409.49
1631318400,3222.85,3345.1499999999996,3209.8000000000006,3267.34
1631318340,3209.8199999999997,undefined,undefined,undefined
1631232000,3426.51,3512.4419630497837,3153.1817439577694,3208.1616070742334
1631145600,3501.631765670125,3565.0984712235777,3400.535440594636,3428.190839815469
1631145540,3495.644455808885,undefined,undefined,undefined
1631059200,3434.0373846829584,3558.949312542073,3224.044239345054,3497.0382940657883
1630972800,3928.39445894073,3946.344748872844,3064.5030208185403,3427.4548149472284
1630886400,3952.15447882299,3969.6656572120314,3874.4337949783844,3929.8668475540403
1630800000,3845.3139762229816,3981.179329531893,3845.3139762229816,3953.294695482148
1630627200,3787.9891136677875,3977.191837837112,3712.1557061673107,3957.010863456215
1630627140,3789.6050157332397,undefined,undefined,undefined
1630540800,3823.9764216137387,3834.964417152135,3726.229120984399,3791.937293297241
1630454400,3406.227273299599,3838.3463606465575,3386.8714477767935,3838.3463606465575
1630368000,3227.239908228629,3469.45019278901,3195.770418662733,3431.9593383075057
1630367940,3227.4861964679017,undefined,undefined,undefined
1630281600,3228.658733998249,3346.608162739956,3146.6668985606675,3220.678911199816
1630281540,3224.610634003292,undefined,undefined,undefined
1630195200,3247.583009530734,3283.6404467457896,3157.958930273952,3223.8630120661314
1630195140,3243.964587850682,undefined,undefined,undefined
1630108800,3270.666681176265,3284.2362166110524,3212.4294749634323,3242.4331588309688
1630108740,3270.7790534071783,undefined,undefined,undefined
1630022400,3084.817942340545,3281.144062681497,3064.1896886814284,3266.0414951100424
